"","FIXED.ASSETS","CURRENT.ASSETS","TREASURY","UNCOMMITTED.FUNDS","PAID.UP.CAPITAL","SHORT.TERM.DEBT","SALES","LABOR.COSTS","DEPRECIATION","OPERATING.PROFIT","FINANCIAL.OUTCOME","GROSS.PROFIT","NET.PROFIT"
"1",0,0,6670,112349,37500,183077,507061,60067,9006,27560,-18931,9218,6338
"2",0,6643,1892,-12126,500,13872,44727,5090,0,-770,-60,-830,-830
"3",0,43279,6863,29125,34000,14154,92922,8583,0,-6434,706,-5727,-5727
"4",0,98448,1,2712,500,94684,665156,2663,0,3658,-6625,-944,-685
"5",0,134917,11368,19893,10000,40669,86020,27054,0,27468,-25480,2580,1496
"6",0,162855,507,117733,30000,35180,297633,35086,19110,15194,725,16450,10692
"7",0,170531,2274,-6118,500,176649,378474,5105,0,5688,-13442,-7753,-7753
"8",62,1389,97,1049,500,402,7849,2376,0,243,-9,234,152
"9",78,26613,3490,13242,10000,20948,3430,3112,8,103,281,664,432
"10",91,183865,22670,34555,10000,149402,637815,4085,0,8504,0,3117,1955
"11",140,10225,5281,2050,500,8314,371017,5597,0,546,500,1047,857
"12",142,75370,28605,55605,4000,19907,233917,179835,381,9704,999,10703,6957
"13",200,54989,25592,16084,6000,39105,139150,122103,210,1597,1218,1203,782
"14",224,31228,6951,20331,4000,11120,74373,4784,577,5115,89,5205,3307
"15",237,714,1,212,90,739,1857,201,7,64,-43,-5,-14
"16",249,65547,20558,50769,48000,15027,339469,3548,110,-1565,2165,600,390
"17",310,195474,38990,31160,10000,164623,441054,23564,0,6946,-5028,1947,1272
"18",323,63115,4916,54986,15000,8452,125582,18524,183,3884,-2741,1142,742
"19",391,24611,1355,4324,1000,20678,380017,591,53,4750,-3563,1178,771
"20",408,29619,775,5395,500,21333,233756,14679,372,2873,-2817,263,107
"21",435,7807,7878,831,10000,7411,224768,23275,214,3947,-3353,594,386
"22",436,31314,2317,23651,16000,7579,69645,4357,141,878,-387,491,319
"23",465,354505,17608,42964,10000,229572,116295,0,362,-593,-11552,-12615,-8200
"24",474,40515,736,3074,500,37915,46159,377,692,11871,-1324,10682,7141
"25",684,16787,0,6303,6000,11167,116534,4253,805,3603,-1013,2589,1683
"26",893,10819,10106,6474,10000,4853,77844,10487,37,39,15,2822,1834
"27",905,52413,1038,24818,6000,28500,143403,11578,308,-4965,-212,-5074,-5074
"28",989,45102,1369,17772,30000,28320,84497,11363,453,12563,30,12866,12866
"29",1000,615990,124,-515464,10000,687142,2045712,1338127,0,-45996,-18660,26007,26007
"30",1013,1263,-12228,-10106,500,4638,34752,3290,92,-2101,-983,-3045,-3005
"31",1048,33783,12934,22042,10000,15789,378108,29709,559,5999,-4882,1116,726
"32",1062,18946,19649,5268,2000,14740,31969,14408,301,112,1336,1448,963
"33",1120,83212,2727,53973,15000,10859,8317,3615,307,1539,75,1614,1049
"34",1128,49746,584,9495,500,34103,100068,62352,271,1065,-3179,-2114,-2114
"35",1306,45305,12553,36218,725,10393,96500,21473,3118,10932,838,11771,7651
"36",1307,12761,469,1381,10000,12687,210422,5293,0,-8155,-145,-8281,-6481
"37",1327,75294,30101,49158,10000,27463,133921,13424,248,4436,2819,7855,5134
"38",1381,38433,20625,39598,36500,216,600266,4758,388,-456,1072,615,448
"39",1426,43934,3647,11229,10000,11931,100932,8865,286,2566,-3573,-1006,-654
"40",1428,42005,963,26821,19260,16612,96499,12566,311,1620,-58,1561,1561
"41",1465,369131,1721,79189,140000,18128,94412,351,400,14395,-32081,-17643,-17643
"42",1489,68099,30,-26447,2000,71036,3773,17177,0,-14777,-28,-14806,-14806
"43",1490,188830,25095,16466,2000,173854,726488,37010,497,8120,-2574,5546,3642
"44",1496,39567,81,4023,15000,22686,166380,20050,631,2762,-2555,207,134
"45",1747,22079,9403,9526,10000,14300,130326,10037,183,-1300,-242,-1542,-1520
"46",1784,322333,11200,38217,10392,80751,130349,12034,128,11187,-24580,-13393,-8750
"47",1816,102019,6404,33755,12000,70079,141827,23987,684,2004,-15,5584,3647
"48",1835,88524,374,4639,500,85720,135138,10738,0,4926,-4514,411,411
"49",1968,81069,1606,19452,11000,63585,136766,17006,569,7843,-6960,882,882
"50",2045,21484,7253,18694,2000,4359,127285,15007,251,3287,83,3253,1991
"51",2090,33917,2324,10031,1000,25975,112162,16746,780,1057,-866,147,95
"52",2126,35771,1509,11687,7000,26199,118270,12044,465,606,-799,-193,-125
"53",2136,7906,4040,9686,7000,356,49335,4414,608,452,0,452,312
"54",2402,49630,310,33617,32000,18495,70200,3959,787,-360,1301,992,992
"55",2429,207875,83,31867,23000,162415,292284,28000,817,14289,-12682,1953,1269
"56",2538,17093,2662,6273,1000,12092,157843,6297,622,-2100,-888,-2988,-1028
"57",2567,117238,671,14095,7850,105710,310463,9161,905,1607,-4338,-2700,-1755
"58",2739,23350,0,14778,10000,11310,99855,7822,618,2509,488,2985,1940
"59",2809,89592,13926,14141,10000,46803,90834,9553,157,5701,-4298,1402,911
"60",2830,30250,5922,6424,3000,26657,133264,22891,1789,4305,1941,2364,2364
"61",2860,68515,1442,13120,2000,58254,207609,5835,579,2917,-2956,-2956,-1921
"62",2871,48713,9856,39106,1500,10393,96519,19928,1561,3239,844,4052,2633
"63",2885,158347,16306,48499,10000,90529,289985,59491,1526,-10360,-950,2011,1307
"64",3062,70586,465,6832,10000,66816,141618,45310,184,-607,-7615,141,141
"65",3243,98781,34576,31758,20000,70266,204889,10628,859,11448,1984,13600,10127
"66",3274,67444,2216,15834,2000,44884,113000,19826,1135,8773,-6830,1852,1180
"67",3452,53685,1252,20658,3000,35581,86259,31731,1887,13633,-3478,2823,2823
"68",3487,134897,695,62728,10000,75656,352846,35952,1311,27396,-5091,22389,14552
"69",3506,42499,23167,29732,6500,16273,52310,10444,107,1801,1711,3512,2342
"70",3514,101242,7152,28771,15000,18302,127663,26272,626,-2003,-5661,1723,1163
"71",3543,28253,2389,9413,1500,3304,159372,7847,985,4052,-3754,298,193
"72",3544,35812,81,8967,500,30389,135055,5176,697,1411,-802,1218,759
"73",3647,0,0,-1142,500,4789,46891,16756,6,-3644,-2039,-5684,-5684
"74",3787,24615,985,10859,5000,17070,81321,14588,740,-15,-137,250,182
"75",3819,107416,1400,27300,15000,70662,168561,8741,572,8567,-6658,1909,1240
"76",3822,39864,3993,3595,1000,38396,143473,16937,1404,1366,-1103,262,184
"77",3879,74501,91,26123,3000,52257,215208,8169,599,4920,-2622,2862,1903
"78",3974,117178,13040,13318,1000,107834,245535,11593,544,473,733,1207,933
"79",3989,66278,0,38448,6000,31820,206097,11143,1492,7220,-3970,3221,2197
"80",4026,25706,2524,-8034,500,21815,45684,21898,769,9764,-5833,3896,3968
"81",4156,25287,10455,14652,10000,13170,85493,10972,1085,204,130,253,91
"82",4199,105431,477,25499,10000,81631,130327,20422,780,-3734,-4555,1815,1180
"83",4268,130077,1067,21735,20000,111994,235578,16247,347,5740,-3344,2705,1758
"84",4271,33161,3098,27291,11040,10081,164324,11025,2157,-2920,-175,-3095,-1798
"85",4406,15050,5078,12083,3000,7373,163078,15785,1044,979,290,1305,863
"86",4446,63931,30595,23258,10000,44583,323728,14956,745,16533,1419,17952,11669
"87",4485,99270,23063,62109,15000,41646,106052,18477,329,2389,1727,4157,2702
"88",4527,37601,213,13616,4000,28512,69515,28950,2186,2750,-830,1970,1280
"89",4557,65854,4031,26133,20000,42686,177734,8053,1426,1138,-4290,2415,1569
"90",4619,58631,5451,61411,10750,1838,879764,9415,898,8114,2207,10321,7444
"91",4621,22016,7628,10653,6750,13190,158049,10753,851,1269,-1,1268,922
"92",4924,77187,21008,52500,10000,28233,115199,21666,308,27685,25246,31565,31501
"93",4970,249351,8843,105833,20000,148488,640399,102980,1532,26591,-5119,21626,14126
"94",4994,75564,18550,11151,4500,66053,429374,29405,2099,5321,-161,5159,3688
"95",5096,102315,4193,6743,5900,97396,214988,55340,1619,7166,-9293,-2111,-1372
"96",5129,11476,356,6237,500,7440,45741,6220,1145,2284,-976,1308,905
"97",5164,35901,2253,13363,10000,19790,132001,57657,697,5040,-1379,3100,2424
"98",5167,61695,2760,24792,10000,41743,103927,29250,1182,540,-829,402,261
"99",5248,280922,16840,88437,85000,197733,381445,39806,1527,11073,-3777,7296,6450
"100",5265,119838,12076,29416,10000,74042,292642,26615,787,4750,-5253,677,440
"101",5357,48154,3381,13530,1000,39346,162586,11699,1255,1594,-1722,818,576
"102",5392,86303,6919,-23911,1000,110556,111411,4051,0,-16162,-7407,-23570,-23570
"103",5465,36284,1686,19699,8500,20448,120047,21083,852,14102,-9697,4408,2873
"104",5521,9629,3159,-6214,1000,21366,95508,7070,1428,-2714,-11,-1274,-2726
"105",5586,25286,5580,854,6000,24680,108395,5867,724,310,-334,833,541
"106",5626,31326,3161,17903,10000,19050,225082,20027,3426,518,-360,137,-9
"107",5629,23376,4397,1484,500,27422,87207,17414,1554,2656,-2303,-146,-303
"108",5949,106864,13230,31685,10000,81129,290226,46004,1456,20626,-4652,16371,10341
"109",5969,62544,3484,32815,20000,35699,93308,17547,908,2760,-1296,1464,951
"110",6008,30638,216,-6188,500,34379,9002,0,520,5018,-1306,-6665,-4332
"111",6039,115482,5069,23942,2000,97580,357815,4490,1368,7919,787,8806,7463
"112",6068,37592,421,769,500,13403,156250,23758,567,6012,-5626,442,420
"113",6088,241993,11578,51616,10000,196388,383955,66326,1524,7442,1989,9623,6298
"114",6105,33571,5587,32512,10200,13385,353398,13987,1686,2004,528,1506,979
"115",6133,172511,5248,40305,10000,67472,406193,8461,971,8221,-3213,7323,4883
"116",6300,101096,20413,20382,10000,89688,434426,90438,1433,31780,-26631,5862,3881
"117",6352,111904,10663,59520,15000,58736,337812,27082,1692,7864,-6560,1325,945
"118",6476,28231,-188,10392,500,12345,85976,36610,876,-510,-4407,-4590,-4590
"119",6484,11593,3666,9060,3250,9017,113528,10826,701,-184,219,52,33
"120",6499,13798,2489,4323,5000,15975,105504,13182,845,-3427,1299,-2127,-1382
"121",6511,155310,47227,1447,3000,159374,547947,20320,1346,6919,-753,6166,4008
"122",6579,40307,-6699,17845,2200,29041,96392,44383,558,1583,-219,1363,886
"123",6673,177992,-32350,42587,24000,142078,309339,63979,2445,-1998,-9374,-369,-240
"124",6678,88449,265,66341,10100,28786,90060,32632,902,-14692,-604,-15422,-15422
"125",6756,216535,39820,36423,10000,185708,307478,30231,3114,13909,-14605,4058,2638
"126",6779,28325,7294,-11033,1000,46313,377912,17223,1741,29,-831,-983,-1014
"127",6787,69354,5708,18877,10000,35412,192153,20546,1318,1268,-4066,-2739,-1792
"128",6807,68633,15501,43668,12000,31648,136223,33682,966,10178,-292,9902,6436
"129",6814,93883,4698,20381,10000,80525,542260,24366,2215,4267,-1921,2346,1433
"130",6894,38237,2634,8783,1000,33147,125440,8661,928,5877,-4194,1941,1262
"131",6936,107094,43974,79894,10000,34136,419022,65033,2183,12605,6200,19820,12910
"132",7000,92780,2433,29448,6000,49963,27024,12090,1204,-7822,2936,10,-8
"133",7008,68469,11143,24641,10000,54427,277754,14282,1718,3672,1,3670,2402
"134",7103,66752,48,7264,1000,54785,187649,16303,1997,3393,-2182,1480,1070
"135",7153,70447,2271,28397,10000,49202,206025,28300,548,6608,-3209,3399,2353
"136",7175,91518,6538,26117,10000,44098,144060,37838,2262,12969,-12225,743,483
"137",7266,44483,-7199,-35180,2000,86987,39268,2089,0,217,-36,181,181
"138",7302,58643,13735,31775,10080,31440,169471,13779,1213,9394,656,9403,6186
"139",7303,95040,1859,25007,10000,77336,185166,73529,2494,15200,-6020,10332,6715
"140",7389,19915,4140,22898,10000,4407,90905,61258,1478,-699,362,-328,-213
"141",7414,101227,2043,14653,60000,90275,158720,33770,2272,-12976,-2454,-15203,1131
"142",7454,95581,37044,75448,41000,27587,304445,51490,1764,-668,1629,961,614
"143",7479,99012,9709,24523,24210,76213,273646,26568,2468,5506,-6145,454,260
"144",7498,55371,1663,17621,3000,44517,285045,47712,1791,1232,-3849,-2616,-1818
"145",7503,59211,-11461,28236,27570,29220,137569,15882,1171,10705,-3045,7659,4979
"146",7539,35811,27854,17322,11100,14028,32643,21181,950,3378,1391,4769,3218
"147",7567,86093,9845,45187,37000,48473,130977,28477,374,-5408,5617,324,210
"148",7613,34931,559,26667,5025,15390,102601,34856,356,3420,-1370,2206,1310
"149",7746,80296,418,-1423,14340,40579,211542,32541,2416,10931,-9168,3789,2463
"150",7827,112262,18826,41281,28600,73829,161308,15732,1515,2843,-1052,1642,1133
"151",7848,16275,4147,4411,510,17274,97580,23647,2172,3691,-231,2054,1478
"152",7883,30695,4076,1706,800,36872,195803,21329,1259,9323,-8191,968,748
"153",8021,103227,544,8338,15000,101133,132852,20391,2223,6053,-9227,-3223,-3223
"154",8117,241826,14492,126796,15000,123148,115218,57796,3164,25657,13415,39073,25412
"155",8160,92627,25782,33696,10000,54551,319728,247639,1035,13750,-28133,-26236,-30768
"156",8165,80864,14175,22572,10000,65853,293020,17716,2056,9109,8342,7518,4757
"157",8296,80077,1796,33801,12000,32160,106850,20570,2421,3693,-1505,2497,1623
"158",8306,8026,3464,-2593,10000,18925,174534,7623,628,2213,-2104,272,1768
"159",8390,258395,29409,15668,10000,251126,277939,58629,2988,8525,-3184,6140,3991
"160",8390,258395,29409,15668,10000,251126,277939,58629,2988,8525,-3184,6140,3991
"161",8460,38750,60038,-11264,6500,53475,120236,10911,622,-8360,-3524,-11884,-11884
"162",8487,47080,87,13604,7000,26054,53069,40204,993,-562,-5174,-6236,6860
"163",8586,82616,1712,43829,10000,47373,179818,19854,1409,11701,-1420,11538,4896
"164",8642,18841,957,19553,500,7929,2588,0,95,225,272,461,40
"165",8654,37263,4633,23427,10000,22489,85990,21090,2555,3391,-1596,1795,1166
"166",8669,29766,1795,-60,20000,38496,172469,29918,2795,1700,-947,799,519
"167",8692,20549,7969,2959,500,25513,145430,13900,1253,1566,-425,1291,839
"168",8692,91831,-824,15808,10000,82631,282747,26739,1243,7372,-6199,1035,985
"169",8732,42222,2426,20789,10000,14777,81802,69471,2025,2758,-2581,-268,-469
"170",8779,14159,97,12091,10200,15947,77381,50196,831,-5429,-1025,-6454,-4195
"171",8813,76936,24606,5186,2500,61113,181548,18259,654,1282,-6429,-4936,-3208
"172",8819,45722,4180,31209,2000,21990,217748,29524,1417,13564,108,13899,10590
"173",8900,67837,0,2542,34240,47232,2200,1665,0,-1453,-7639,-9092,-5910
"174",8901,69652,61234,35634,10000,42919,224744,34261,1741,6072,-3252,2919,1983
"175",8935,72650,1767,49064,16000,32642,201870,53977,9210,6398,-1398,6062,3940
"176",8957,74163,2325,49353,25000,33767,201322,20087,2801,6443,-3250,4038,2624
"177",9026,383355,16484,78051,32500,214330,1596389,4179,426,31603,-37069,1022,755
"178",9100,242267,9268,52313,50000,199026,878936,46958,2167,5552,-2787,2765,1797
"179",9116,66016,15724,52007,10000,23125,161655,18443,318,23689,2378,26067,17119
"180",9159,146131,12800,32588,12285,127844,235875,37492,1867,3328,-2060,1267,833
"181",9178,25096,-11338,3923,1000,30299,201808,17755,739,3052,-2101,254,254
"182",9200,197169,555,51456,35500,134611,225813,47907,2743,18846,-13227,5622,3739
"183",9225,94401,5980,49040,25000,52231,992905,39846,4124,10154,-5859,4291,2789
"184",9273,55695,4346,26870,24706,38098,115535,28552,1567,5629,-2323,3245,1955
"185",9322,50338,2802,11940,6200,47599,202988,33228,1876,7223,-6339,883,598
"186",9333,32175,8186,10608,500,27380,96192,83524,576,815,-1668,-1607,-1044
"187",9351,59948,82,13193,10000,55138,102623,15879,2459,6758,-6173,1715,1715
"188",9407,54574,3352,4133,1000,26237,193278,33985,2217,13718,-6393,7179,7179
"189",9480,103342,3785,32834,12370,78564,331231,24070,1670,7575,-5206,2367,1613
"190",9486,0,26914,20201,500,50604,825168,54855,921,14221,10396,24618,16071
"191",9653,187990,-2098,47149,25000,146559,295086,58763,2043,6084,-3380,-1037,-2510
"192",9755,49779,29801,43433,15000,16101,95469,20277,899,2738,-425,2631,1896
"193",9833,116774,10899,21696,4500,104775,223687,76032,4350,23358,-19502,1964,758
"194",10047,73452,5442,59788,48000,23712,159558,25176,1497,6053,-5522,530,344
"195",10128,54496,1597,4317,36000,60307,146725,23892,2273,2771,-8433,-5662,-5662
"196",10172,89086,47035,68957,3500,25518,162998,36078,2072,18219,1523,19701,12922
"197",10241,373503,27230,122521,10000,261223,1258514,21701,681,47980,10230,58506,38103
"198",10251,9606,1673,3463,4000,10571,157390,24768,1066,2550,-2676,-125,-125
"199",10251,110882,8635,31245,10000,89888,145666,21119,3323,12949,-6836,6113,4021
"200",10377,52539,27761,49977,15000,12940,102619,20147,1349,845,2070,2772,2086
"201",10510,27550,359,16576,10000,20107,147019,43804,1442,1729,-2055,572,388
"202",10510,69010,113,4690,10120,59830,86970,34751,0,-2743,-2309,-4189,-1847
"203",10540,20019,4726,6276,6750,15233,48015,26725,1550,-4091,-643,-4308,-4308
"204",10628,14043,7069,12922,10000,11749,126884,5827,499,941,-845,96,62
"205",10702,36084,8035,25107,30000,19826,164477,24861,1285,4091,-2256,2498,1623
"206",10720,155243,-46,13511,10000,152452,266237,57962,0,2052,-1707,334,216
"207",10789,31883,15990,17064,1000,23815,171206,29112,3080,1238,-295,1800,1390
"208",10854,43317,-3496,17322,10000,31865,110107,40121,-119,1486,-1751,24,24
"209",10888,12794,1496,-4053,4000,4535,114883,14174,1425,-3372,-236,-3424,-3424
"210",11255,95798,7479,24020,10000,78489,234802,25972,1380,20865,-2948,18360,11934
"211",11397,72090,8905,60639,10000,17456,159120,24669,2376,2350,694,4002,2878
"212",11423,102844,4129,40735,9000,70250,256184,17650,2620,12170,-1745,10461,6814
"213",11639,195871,-19034,92138,42000,115399,445017,40268,2512,30390,-22856,7602,4991
"214",11649,23020,526,4414,3200,15082,117734,10733,2382,3982,-3538,1001,651
"215",11723,90745,2498,54990,10300,44776,311906,187556,2590,41916,-589,41300,26846
"216",11903,36100,2089,23504,1000,33180,107650,26368,0,5963,-3006,4122,4122
"217",11952,71820,6296,57927,36325,25845,230106,17991,1942,14560,-12698,2007,1304
"218",11963,140016,63,95601,63425,55584,185950,41873,5066,986,-3527,-2541,-2541
"219",12003,161749,23386,104605,50000,69147,664592,30759,5913,8314,-2108,8920,6093
"220",12013,42366,27038,29502,18225,11563,299373,15295,502,2890,-253,2636,1713
"221",12076,30702,499,6619,600,32573,89243,15626,2648,-1166,-1324,-2236,-2236
"222",12505,62908,-9006,29539,10000,45873,367061,20331,5523,4877,-3814,11507,11507
"223",12585,78702,17225,1494,22500,90154,130240,9182,5053,7855,-5274,2580,2387
"224",12671,169046,3182,30118,14000,142764,159173,46700,2962,17122,-17772,-451,-526
"225",12679,35652,1069,20109,13700,21546,132658,30480,3503,10858,-6890,1524,1925
"226",12760,58319,6820,10113,15200,47097,350212,4416,1647,9292,-6827,2503,834
"227",12876,35238,125,20565,7000,27548,88253,46092,1447,2524,-2072,451,164
"228",12980,239233,24876,31017,10000,221322,460348,46101,1657,22326,-13739,6888,3563
"229",13026,254328,109,53671,50000,213423,419916,86589,1751,29745,-17339,12405,-109
"230",13167,34594,11554,19110,20000,16400,79943,16555,1222,6588,-3992,2479,1611
"231",13167,87298,1517,18559,10000,82058,235042,24295,2185,6748,-6525,1966,1278
"232",13293,22418,15219,29167,10000,6544,155341,34673,2230,-7170,1245,497,497
"233",13293,121520,4377,27344,10000,65811,238081,34386,701,10646,-9830,857,662
"234",13600,38993,7571,28411,15000,22290,155142,19481,907,5150,-1116,4286,3966
"235",13714,22330,1957,12152,500,16324,91614,9677,787,4885,-1763,3122,2404
"236",13810,20719,-7980,12393,10000,17839,90160,28037,517,4546,-6429,-1882,-1882
"237",13828,35718,12579,38426,40000,11148,381496,32675,3592,6796,-412,6493,4875
"238",13914,83699,1725,3795,10000,47847,69396,17740,2904,15751,-8646,7104,7104
"239",13937,100455,-17847,65699,32000,48692,269938,42404,3238,3858,-719,3138,3138
"240",14040,25190,3585,15128,2450,9035,52963,18300,5367,2293,-2113,270,101
"241",14041,40830,22609,34674,10000,20196,224874,16771,4747,-370,1864,1270,857
"242",14079,55656,593,5603,10050,55632,155695,18473,1403,6692,-5777,630,197
"243",14086,72255,5889,8376,10000,77965,147841,19550,59,-7138,-6805,-13864,-9019
"244",14102,198807,3384,60081,67000,155250,332188,50423,2433,30157,-22481,7676,7676
"245",14135,90212,4013,19488,5000,51865,182235,13621,1818,7913,-1133,6794,5033
"246",14282,1880,155,4083,1000,10484,79150,15089,1140,1393,-1009,384,254
"247",14328,34953,3215,6673,1000,32685,327085,10993,1675,3238,-2205,1033,671
"248",14392,281699,5768,82996,35000,211663,488367,110879,2161,22651,-14733,8472,5837
"249",14468,45740,-10563,32166,10050,26943,125062,27746,2027,5198,-2191,3007,1984
"250",14560,66958,1003,53459,10000,20784,138572,101812,1167,8707,-2194,6483,4441
"251",14687,62279,23032,36933,20000,40032,174945,48025,3263,26514,-22045,4495,2922
"252",14732,67712,-3784,36272,5000,40881,175520,55388,1942,10424,-1689,8826,6064
"253",14803,27352,432,5630,1000,36524,266204,69685,1576,11578,-2050,9747,6349
"254",15114,43151,2800,18571,500,39694,107370,19108,1545,-8412,-1120,1120,728
"255",15123,44387,2357,22611,10000,32889,112374,29298,2739,8073,-2194,4548,3511
"256",15161,60571,-31,21857,4800,35500,141452,18169,3391,2957,-4462,-1177,-765
"257",15273,28955,163,17224,10000,26700,109697,32353,5283,2355,-1291,1475,801
"258",15888,23161,4414,17246,4000,19740,187202,17264,1052,6920,-5131,2889,1910
"259",15907,16257,5925,2832,6500,27832,205947,33449,1690,-4078,-581,-4645,-4645
"260",15939,61238,1203,4306,500,72870,13152,14091,752,2770,-2010,719,556
"261",15949,21168,7244,18191,5000,11967,132935,35557,5046,2061,-481,2591,2506
"262",15992,321942,162756,196721,10000,141213,672802,290270,2038,129930,5292,135222,87894
"263",16047,22849,20803,8818,500,30078,198265,75358,1238,2023,3556,3659,1706
"264",16262,40191,14510,31195,13750,25258,195756,10956,3631,3081,2,3147,2296
"265",16288,285486,7347,109660,45000,52428,592751,437625,964,19838,-35048,-15209,-9669
"266",16311,214617,17551,39772,10000,188924,584914,55240,4451,1392,-799,213,138
"267",16448,43006,2932,21606,600,36430,172470,71585,1351,8077,-7559,1517,1067
"268",16474,133748,10809,8398,5000,141824,420203,19911,2763,13742,-11332,1246,1246
"269",16475,29867,2429,25784,10000,21307,194746,15958,1187,751,-593,158,81
"270",16539,26497,-221,2972,15000,21861,52080,14669,0,-1438,-2825,-3662,724
"271",16545,44670,3596,1307,1052,50140,249905,218734,2887,-1766,-6587,-7975,-7470
"272",16588,159714,42535,158706,30000,17595,177803,55077,1878,4891,10143,14456,14456
"273",16675,32102,11097,26948,10000,23330,127841,13126,1669,-3215,89,-1088,-720
"274",16678,33358,17659,12781,10000,22253,121665,11209,1044,4140,-2352,1788,1162
"275",16716,74276,9427,-4499,30000,92997,493296,35900,2157,-238,43,-194,-194
"276",16716,112533,19535,42887,10000,86361,332694,44750,2497,12096,-893,11202,7809
"277",16757,204687,58776,85301,10000,136144,452094,52056,2167,6677,986,10351,6973
"278",16883,66753,5619,11057,8000,53376,163299,22171,398,-301,-4012,-3198,-2078
"279",17034,117533,47632,82182,11000,37121,219107,147666,4332,12734,6948,16850,8832
"280",17051,19689,2519,9147,10000,16239,69520,6604,2428,3939,-2556,1560,1014
"281",17064,91464,1599,40259,12000,50559,43079,19303,1732,-5652,-3979,-9380,-9380
"282",17109,33231,20556,48495,10800,5895,88567,47133,2880,4183,1366,5550,3694
"283",17286,14018,-23788,11564,10000,15175,107268,16837,0,2058,-5033,-5033,-3271
"284",17381,224043,47884,37060,10000,206864,694184,39965,3748,28982,-20340,8642,6416
"285",17508,47062,4124,5519,3000,27442,221368,30334,1941,680,-4267,-783,-783
"286",17544,30393,0,20621,20080,14715,197178,6655,2734,3077,-1602,1444,1444
"287",17581,70335,4345,64224,17250,23897,108991,30483,3600,11921,1652,13700,9547
"288",17638,91209,22703,33661,25000,73890,276228,32936,9009,5972,-357,-2466,-2466
"289",17675,124873,33564,76942,30000,65511,338705,32701,2540,31417,1966,34556,22554
"290",17727,169163,10121,62653,42600,122540,291192,50158,2125,21750,-5048,17756,12241
"291",17762,236623,10611,111874,40000,116346,591131,40706,1945,16768,-751,14965,10040
"292",17773,35221,6185,24039,4000,26611,309316,17087,2978,4674,-575,3999,2599
"293",17981,69591,29599,32369,2000,48558,160656,14034,845,3964,945,6313,3885
