"","FIXED.ASSETS","CURRENT.ASSETS","TREASURY","UNCOMMITTED.FUNDS","PAID.UP.CAPITAL","SHORT.TERM.DEBT","SALES","LABOR.COSTS","DEPRECIATION","OPERATING.PROFIT","FINANCIAL.OUTCOME","GROSS.PROFIT","NET.PROFIT"
"294",18136,53319,758,15215,14000,47030,234727,10760,2952,2575,-3046,1041,980
"295",18181,136542,3256,41867,10000,114836,279489,100845,3933,7975,-5181,3293,2300
"296",18194,117133,873,18294,10000,32736,257072,10841,3261,4634,-5220,-229,-229
"297",18241,173471,6248,57835,10000,138230,308178,76324,5752,10279,-6259,3870,2600
"298",18270,28812,369,23631,10000,23395,348520,7106,1558,-620,-945,-1565,-1017
"299",18299,293922,4515,14873,10000,297348,631584,48453,3198,23453,-21390,2615,1700
"300",18388,36085,14018,35108,10000,19208,106910,32176,3719,2851,17,2953,2003
"301",18436,242510,9941,142930,25000,118017,361814,36398,2781,21317,-4509,17347,11913
"302",18496,44916,6493,-9034,500,57845,48341,14288,2438,2636,-2511,223,223
"303",18613,51187,1099,30275,12600,36738,134712,14723,2984,7137,-2257,4892,3347
"304",18636,73795,9810,49865,3000,35566,148421,60850,5377,4390,-2459,1931,1491
"305",18707,47127,11478,6622,3000,40903,302770,9677,4483,4047,-1354,2692,1873
"306",18725,64438,20,3519,3000,79644,222903,24197,3708,10256,-8324,1931,1338
"307",18887,64409,782,11867,1000,51911,41034,19644,131,873,-932,-5486,-5486
"308",18969,17401,2537,11146,500,19587,152861,15110,3162,662,-1357,-694,-694
"309",19007,197967,6358,33736,45000,131214,324383,97009,6268,28935,-9960,20735,20735
"310",19035,85576,15494,48127,10000,55549,218520,29218,2925,8562,-409,8153,5299
"311",19158,60227,-15069,33195,40500,46190,448009,22431,2885,-3356,-2608,-6482,-6852
"312",19224,74605,10541,22001,10000,53697,339786,17440,2153,3728,-2059,1188,809
"313",19292,66552,4003,33228,11250,48304,422926,18738,3461,6120,-1059,5500,3565
"314",19430,50634,3336,18573,10000,30858,198830,24788,3045,12741,-10408,3008,2307
"315",19464,188368,18547,76700,10000,131132,929080,52601,4173,13971,-7471,6499,4388
"316",19534,89023,1097,-7229,10000,114663,87205,32880,3178,-6564,-2760,-10325,-10325
"317",19575,208677,2898,2942,10000,188219,184063,36167,0,4602,-15318,-11064,-7191
"318",19762,177435,35581,52864,30000,144333,1059859,83436,4044,6063,-5181,772,597
"319",19846,118109,15849,6721,50717,203644,293779,27578,1372,8802,-5559,3307,36535
"320",19922,111544,11856,10193,10000,120149,315945,23550,1624,16250,-8268,8170,8170
"321",19964,65250,36733,31646,10000,45053,115367,8156,1366,741,-1429,-2170,-1410
"322",20019,144386,1544,36166,10000,131707,242623,40836,2279,346,-7321,4217,3136
"323",20121,414771,2683,72176,16000,359274,683923,27192,3650,12612,-30848,11696,8219
"324",20163,94214,45088,30937,10000,40836,81020,29355,2125,24811,-69,14835,9486
"325",20517,22734,1007,13429,10000,5350,62571,12161,1572,8606,-612,7994,7800
"326",20648,98620,2960,-684,3000,63338,80566,30968,1140,-7174,-11058,762,713
"327",20717,68007,-10421,36888,20000,47585,117636,13188,4451,8309,-4329,5076,4778
"328",20817,59508,8194,32837,20000,47488,149775,18656,1608,-2012,349,-1731,-1731
"329",20920,170466,75995,171266,10000,19358,210542,68666,7389,27667,7551,35342,24033
"330",21164,200508,12981,151811,83110,69862,362780,41494,3120,12855,1110,13965,9102
"331",21240,72884,11327,20994,2000,69968,367890,20921,3864,5046,3091,8138,5615
"332",21343,45744,8067,35428,10000,30830,275533,61639,4164,3822,-346,3072,2012
"333",21344,44744,11475,15472,16500,40218,342686,21545,3124,2564,-1307,3790,2463
"334",21348,79616,1180,55499,10000,39558,9689,0,1323,-7697,-3472,-21647,-21647
"335",21465,44093,3374,35164,31550,30394,146469,38359,2274,-16280,-2820,23258,15051
"336",21577,128170,19762,35545,10000,112408,240258,51196,3764,11049,6847,2957,1807
"337",21692,156392,44281,104005,80000,70924,381518,67692,6559,14891,-2211,12720,8460
"338",21781,20141,1600,6456,10000,25457,106155,10788,2321,-95,-2937,-1445,-939
"339",21832,123317,3265,41495,25000,78654,258567,96735,964,-32360,-5788,2930,1904
"340",21925,90600,5364,72115,3000,38960,132051,49951,1897,-2659,118,-2407,-1197
"341",21950,230687,31,31566,2000,40955,269717,52607,1939,23738,-17593,10436,6521
"342",22071,203460,1197,45966,10000,183149,465202,57756,1988,15551,-15018,532,411
"343",22225,97210,6259,35085,8100,83473,316849,23834,1758,12350,-7188,5162,3395
"344",22229,128873,-27781,29282,3000,121820,1110812,3253,1223,23960,-2298,21661,14097
"345",22272,49480,17471,10876,540,49548,155346,22578,2989,8271,-4073,4175,3203
"346",22319,33775,4711,106,10000,53426,211062,13910,1004,3849,-3237,612,398
"347",22328,55795,9568,29873,1500,39101,161217,21054,5640,12448,-881,11683,7706
"348",22388,140011,22594,68040,17035,92768,309149,36814,21875,-4309,1789,8454,5342
"349",22452,79381,5442,979,11000,85051,108058,35362,4715,-9766,-13767,-22392,-14554
"350",23388,51858,2102,2631,10000,58912,162338,41889,1498,-8853,-1616,-10469,-6805
"351",23541,155821,54301,95517,10005,83845,520086,27105,459,19215,8183,27399,17894
"352",23706,522208,49871,123090,30370,354155,456630,44607,3726,18679,-23126,3671,2563
"353",23724,201768,68937,100333,38000,125158,541049,37286,2212,-1863,14409,11534,7712
"354",23771,79492,5255,10109,1000,84574,133910,62455,1974,10699,-9026,1713,1113
"355",23827,341389,24901,23908,10000,339808,345832,36360,4855,9827,-11221,4469,2164
"356",23970,85975,13020,45881,32300,64064,2963884,22828,0,5056,-3899,1157,1157
"357",24104,81262,-27964,61638,10000,23496,152541,25550,3231,10412,-7919,6371,4325
"358",24291,69945,28681,30052,30000,64184,363487,24820,4549,24237,-3506,4582,4582
"359",24327,237268,11885,28126,16000,212403,134785,20608,3277,10367,-7397,2970,2190
"360",24507,28049,11232,-1553,12200,33857,99279,43696,2257,19609,-5242,14353,14353
"361",24586,64644,-6636,30273,10000,43874,153548,38795,2204,6692,-3898,-3598,-1119
"362",24928,138548,14325,23479,4500,127448,434031,21511,2858,10142,-5974,1098,905
"363",25105,100177,1674,33019,22050,92262,177518,58601,3810,3703,-9568,-8514,-9597
"364",25227,54780,4116,7788,5000,46854,133731,35097,2957,7290,-5896,1474,949
"365",25387,262327,62954,141787,85000,143049,517061,65991,6149,18397,1903,21291,13840
"366",25731,26464,2324,16800,16000,26893,78948,9452,906,1413,-441,971,631
"367",25864,135027,69814,30300,10000,133930,495375,43039,3581,14996,-8107,6888,4477
"368",26134,137563,2375,47439,33000,116258,567711,274549,5347,11317,-1707,9609,6595
"369",26259,76616,8885,16612,10000,61264,155290,21643,2942,11183,-8857,380,-82
"370",26372,97580,31638,27268,10000,93408,379280,86492,4978,14929,-5186,9526,7026
"371",26789,200252,19599,139335,10200,87705,495111,96760,4708,-29088,29617,528,538
"372",26978,112390,11271,98729,50000,40639,209870,18237,2930,5843,762,6606,4371
"373",27145,30005,0,-115,11400,45651,203285,7404,0,-8108,215,-7893,-7893
"374",27188,142330,3030,104106,44000,63014,402218,49523,5409,3539,9,3561,2519
"375",27204,108733,72,-24138,2000,144834,412910,21866,4390,10546,-5033,5329,5329
"376",27852,111818,16196,95637,7100,43001,243574,121997,3916,24526,-191,24437,15922
"377",28039,54811,1670,-69864,46000,142496,106807,14055,586,-21344,-11437,-32782,-32782
"378",28060,116470,3535,125277,100000,19254,141342,16096,737,6829,-1562,5267,3235
"379",28118,40531,1365,28258,10000,31420,163907,21065,4269,14275,-10530,3745,2687
"380",28355,41814,4581,11477,11500,42438,225594,20616,3543,865,-4393,-2469,-492
"381",28582,86537,4544,29300,18000,74141,214456,27649,2895,8909,-7961,1125,1125
"382",28606,37971,5538,3984,3500,31658,101222,8477,1387,-146,171,24,24
"383",28716,79251,2978,55988,20000,27918,526823,17462,10676,4702,-3641,4483,2914
"384",28962,171001,27029,50670,21900,123903,306522,48021,1451,17602,-11729,5736,3728
"385",29044,214347,68087,36846,10000,201466,654845,31778,5668,19225,-3000,16225,10221
"386",29189,19144,9662,18431,2000,21114,227123,26063,924,7001,-568,6433,4596
"387",29367,30873,590,-247,10000,50617,106817,13780,500,9101,-5762,4427,4427
"388",29591,266037,-792,44884,17000,236421,1106446,28289,3363,37582,-31908,5698,4994
"389",29755,121503,2299,107352,32000,41076,240563,97331,4168,-499,-1299,-1613,-1613
"390",29981,140794,14518,76431,10000,98094,217399,17693,598,3791,2320,6710,4583
"391",30022,90512,381,15407,15000,85260,85110,11000,834,2191,-3834,-1643,-1643
"392",30390,127960,187,8836,2560,92311,124587,25575,2599,20304,-15735,4545,2489
"393",30622,45172,2754,3271,10000,67450,94286,35274,9635,2165,-4534,-3721,-3148
"394",30826,27975,4663,14096,2000,16269,333919,13657,2927,2435,-4606,-2169,-1422
"395",30858,259244,1127,162905,31000,105011,348217,43388,7553,15048,-8213,7241,4781
"396",31037,1174,343,32126,10000,85,2430,0,1731,768,6,-62,-62
"397",31151,32676,126,36486,5000,24820,1571043,9863,1243,3260,-635,2632,1711
"398",31189,49928,2410,-73540,500,111990,36501,24873,0,-19814,-1862,-21607,-21607
"399",31848,26695,3159,8159,11000,31511,179580,40376,1111,5474,-2715,2672,224
"400",32004,-4320,-5585,-16257,10000,39525,6399,4734,0,-2670,-229,-4358,-4358
"401",32331,76155,18612,58607,21000,49879,382065,41209,4867,9012,-2031,7010,4621
"402",32410,243864,-9349,21258,20000,253913,504682,30780,1221,13993,-12749,1017,302
"403",32428,342928,13844,80307,10000,297357,1906410,30275,2184,46468,-12414,34053,22184
"404",32499,99789,3764,33730,13200,86841,322228,27357,4561,7558,-3448,2954,1697
"405",32698,131819,3890,30871,10600,125308,164284,8195,935,27855,-7146,20718,13653
"406",32841,104845,877,79149,56000,58537,142977,36837,4381,11635,-9551,1661,1353
"407",33066,91928,18207,38540,1500,67274,85828,26891,883,7170,-4356,2621,1708
"408",33286,42725,20107,22295,18400,35415,308242,76133,5536,7217,-2207,5358,3667
"409",33332,134161,3802,17058,10000,139786,102752,40420,468,6229,-9954,433,433
"410",33472,47479,2728,54681,10000,26270,211276,36528,8743,18056,566,18868,12662
"411",33475,71458,0,61901,18000,43032,335208,96849,6914,7557,-830,12977,8661
"412",33538,80812,4505,769,2000,85292,328379,24036,3819,12041,-6671,5370,5370
"413",33550,57951,240,34657,10000,56995,139055,81855,8609,1870,-5588,-3718,-3792
"414",33570,40095,12976,33253,10000,31777,136467,8161,8261,2625,-459,2124,1343
"415",33700,79903,5636,69493,12000,43227,203776,73866,1957,31719,-1570,29714,19697
"416",33771,41496,643,20824,14000,47089,122544,19788,2328,5363,-4941,461,193
"417",33866,10185,2609,7820,500,34380,216245,17249,2015,5417,-1168,4248,3281
"418",33995,308938,198130,244400,25000,96607,746612,98834,1164,108999,-5823,102949,66917
"419",34336,55673,6677,80052,500,9958,76107,65060,740,11106,406,11512,7483
"420",34347,27100,100,37916,10000,23531,199715,65482,5179,3859,782,4641,3585
"421",34610,19315,3778,630,500,34692,136144,14528,2029,8552,-6294,2260,2260
"422",34651,39635,-709,23035,19000,42978,313652,33323,4918,4401,-1238,3027,3027
"423",35237,128641,77131,39950,20000,118242,413096,16622,3711,7017,1982,9726,6495
"424",35438,178496,19109,13183,4000,182222,279335,23218,18915,8192,-8175,16,12
"425",35649,199488,30056,106754,500,127434,422980,67046,2227,18776,1245,20021,13147
"426",35849,191915,6366,74479,20000,153285,498747,165873,4375,-8611,-1500,-9474,9474
"427",35960,74164,547,29631,15000,79879,99802,26381,2899,4778,-3270,4946,3103
"428",36140,130259,18705,18805,3500,54531,308829,14644,4056,3247,17,3069,2038
"429",36159,4574,577,22238,15000,18571,15720,9374,8501,-7962,-1600,-9558,-11278
"430",36592,337218,2644,107805,16200,266006,496612,69513,10357,47112,-16578,32324,20538
"431",36659,50725,8133,22587,21250,53723,159375,19192,3643,3203,-7182,282,127
"432",36784,99856,676,54452,12060,70027,165924,26617,9606,12356,-3832,8523,5629
"433",36896,145256,3568,9279,23000,154634,12652,8965,2162,-7534,-7340,-14676,-9631
"434",37037,197135,11861,17107,10000,202884,480476,20684,2104,3586,-417,3310,2441
"435",37648,69522,2185,46015,10000,46290,131824,42027,4811,3410,-3471,838,322
"436",37838,214625,35118,53321,5000,152298,551770,79979,5562,67467,-34757,32709,21304
"437",37841,2684,211,9032,12000,21599,103869,33473,4511,23,-1349,-2019,-2019
"438",38203,83096,7773,1775,36070,107437,252290,50066,8308,-30933,-4830,-8809,-5726
"439",38387,587341,1188,450722,10000,25850,47415,11296,2383,14094,25782,44982,30340
"440",39008,81457,4638,77128,50000,43338,147544,55093,3630,-6284,-6283,-12676,-8239
"441",39090,272740,10118,152382,25000,159402,850082,29713,1203,7245,15171,22219,14463
"442",39148,125471,-3644,57204,6000,106414,261845,29785,8673,18170,499,18631,13358
"443",39224,44285,15895,26693,16980,34816,163701,9227,1363,-13354,-4403,-662,-430
"444",39528,-8613,-24044,-24471,1000,46318,9298,14981,400,-38266,-224,-25710,-25710
"445",39606,206467,47751,92850,16000,143493,434589,50383,54398,39025,-1101,47450,30832
"446",39778,78758,317,38223,10600,68186,321835,35815,3821,10158,-3482,6544,4809
"447",39909,96316,9588,55818,4000,80407,170172,12144,4301,3976,-88,3934,2951
"448",40160,214867,16296,102744,5000,149696,528484,118131,9246,20300,-20191,3562,2757
"449",40309,103837,18856,36421,10000,87593,366323,36169,3947,6075,-1036,5038,3275
"450",40412,61595,3398,24514,10000,52081,184116,14854,229,3729,-1604,2371,2371
"451",40517,92743,5776,23201,15500,109259,408823,119829,8395,13611,-8442,4506,3166
"452",40585,89812,912,25281,10000,46705,116873,37117,16192,10699,-8481,1918,1246
"453",40653,60801,6858,36048,19000,65407,472848,16291,4067,2619,136,2755,2192
"454",40679,72779,32,41991,15500,73467,254514,20715,2646,340,941,4152,2698
"455",40872,178398,564,18239,1000,199094,291317,63414,5822,20490,-18832,3455,1326
"456",41206,97712,3828,107652,41500,31266,232268,31551,7123,17248,-3658,9474,6453
"457",41233,48109,5305,-7231,3000,86028,261997,18394,4763,-29358,-683,1069,1069
"458",41354,266670,17898,193308,40000,114716,1206736,103003,4539,29425,6744,36244,23498
"459",41403,51759,1585,-4695,500,47684,193299,70089,9139,-944,-4729,-5324,-3461
"460",41414,79408,4239,63466,7000,50145,221918,98610,3895,33201,-3036,30161,20066
"461",41437,43276,598,28125,10000,53169,299693,53547,4633,7719,-5994,1895,1219
"462",41472,340058,6844,153599,72250,216362,514408,26297,3663,26452,-6208,27147,17645
"463",41592,87467,26955,48325,5000,80734,123745,31069,1990,7917,1060,9003,5885
"464",41791,66441,-6187,3244,700,64529,102116,11447,0,7968,-9185,-725,-471
"465",42350,116011,17911,128751,50000,28710,269752,84342,14512,5157,3479,9626,7478
"466",42447,658633,44503,228783,40000,470768,1121266,105966,7384,57666,-16981,37251,22965
"467",42558,104984,5212,52841,40000,94701,179088,14672,4748,2241,-1996,244,-1592
"468",42721,37160,3496,53033,6600,18498,235730,50432,8615,9994,1516,12050,9166
"469",43369,64667,1542,55004,17350,48664,135659,17115,4166,12561,-5887,4869,3823
"470",43713,154473,9398,14816,4000,172208,367671,17883,2992,20637,-16894,3743,3014
"471",43779,19997,9669,63431,4000,346,121455,35110,2670,4173,2689,7113,5245
"472",43898,64065,10904,32936,10000,75027,52884,6075,120,3258,-29,3414,2388
"473",44486,131005,5869,120250,10000,47427,131789,42884,3145,4192,4034,8471,6093
"474",44491,163593,11120,19418,10800,154036,235082,30113,4272,29641,-23403,6237,6237
"475",44679,127388,37551,100418,72000,71662,661414,79443,11785,50732,-43524,7208,4685
"476",44861,72049,8119,63161,38000,51976,803466,56904,12215,2657,-1107,1605,1043
"477",44942,138819,4397,56747,10000,127100,318796,163712,4243,31952,-11526,18502,11346
"478",45220,243658,3737,88036,10000,197984,1521462,67678,5525,25210,-22785,2718,1767
"479",45238,47739,131,24188,9800,36541,241944,26387,5441,4169,-4799,-858,-1364
"480",45482,41858,22455,48110,10000,43247,49639,4987,6486,2243,1252,3496,2532
"481",45586,556701,238879,138686,25000,462341,1308738,213736,6078,77488,-32380,34359,22094
"482",45666,345809,2146,-3023,10000,347331,1042083,37716,2920,12325,-17480,-4201,-2730
"483",45903,174242,30746,12847,20000,208404,863313,53295,5560,11108,-4862,15224,15224
"484",45999,50030,6906,49956,48150,42070,95287,35373,8054,-6182,256,-5558,-3612
"485",46482,53477,3038,10841,1000,70426,328408,13480,2983,14689,-11971,2718,2127
"486",46564,57788,3094,48837,27300,51465,646397,56180,3279,1675,3805,5484,3516
"487",46631,48094,5676,36409,10000,58316,367741,47977,9579,3603,-2274,1328,979
"488",46753,148337,4962,35273,10000,129682,473521,32529,2524,-3412,2062,483,367
"489",47152,490613,16759,165693,35000,352469,874361,133834,13657,37903,-17695,20013,14068
"490",47626,124300,29242,135469,24000,36457,227875,73138,25214,22540,771,21312,14074
"491",47650,31135,9343,37906,3200,38353,221321,25371,11317,35309,-2524,33448,9058
"492",47755,36706,22459,16462,14320,51947,373611,86101,3288,0,0,-166,-166
"493",47864,30685,1577,40700,10000,25014,100616,16249,671,4145,-795,3350,2177
"494",48558,-26538,-28612,-22113,5000,27667,27166,30770,0,-12904,-4723,-17628,-17628
"495",48720,1632098,203304,1392647,1493787,288171,3666486,226163,29063,120274,-37473,40493,24867
"496",49079,349960,19379,214826,58000,180466,874582,87484,14700,-20388,-6458,-34465,-34465
"497",49252,182994,143160,183958,10000,35913,112511,48457,4230,-23304,19203,116693,116693
"498",49903,21808,7287,5161,500,26463,271300,23039,3628,5034,-4128,1190,933
"499",50164,18970,1470,8274,10000,25659,58364,13667,5449,10795,-5867,4928,4238
"500",50436,77472,8649,130609,10000,-2701,114038,26041,8251,15951,4124,20116,14456
"501",50825,207663,14819,82313,10000,162123,451537,82992,5607,7057,-5319,3575,2372
"502",50864,66253,1151,24673,12480,92444,94839,39368,6410,15969,-110,12196,12196
"503",51027,84350,1923,40460,27000,70896,191476,75233,6692,9364,-8656,733,733
"504",51774,60489,6261,60773,10000,49565,223026,39872,14689,5343,-465,4878,3639
"505",52046,65856,98,54911,53700,60204,156839,5042,1964,5146,-1211,3935,2821
"506",52159,85641,1784,53599,9120,61347,133512,46207,6818,6668,-4558,2109,1718
"507",52207,498306,25977,145424,96800,171786,585234,42096,7326,38704,-29890,8813,8813
"508",52441,10370,-24281,61836,34900,975,220590,25450,10399,6368,-3773,3165,3165
"509",52819,318471,8669,103625,10000,258598,418486,118668,4743,41976,-27702,14273,9277
"510",53180,79578,-67,38658,3000,75588,542767,32418,14148,5182,-3177,6004,4591
"511",53582,369618,13737,221325,54000,198474,2585548,99697,13004,76174,-5558,57394,33082
"512",53793,172944,534,111084,15000,112605,294996,71289,8044,24130,-2807,21662,14574
"513",53804,132210,47324,135602,30000,47701,384306,70469,7611,27471,2990,30645,19919
"514",54167,119977,78313,4405,1000,122826,300730,38656,5746,13185,-7174,3159,2261
"515",54234,14313,2518,25088,20000,9314,113662,67121,8446,-7901,-3616,-11492,-11492
"516",54238,129852,327,48150,12000,119881,317046,71430,9711,5585,-4925,935,3626
"517",54302,103263,1509,68795,15000,71693,280916,38053,7333,22904,-10759,12305,9070
"518",54340,164868,-1098,96259,10000,97778,417532,43760,2897,28288,-2027,26907,18612
"519",54374,166160,15079,173277,37000,45857,434760,72629,9223,9155,3504,13584,8919
"520",54421,63846,28483,42498,12800,36405,184583,60367,6639,40690,-8497,32008,22390
"521",54433,5559,-22580,-761,1000,60754,126450,42247,4461,4751,-4755,328,328
"522",54663,182661,3743,19079,10000,221360,369657,85920,6190,34071,-31042,3800,2819
"523",55389,85390,5732,93926,10000,42627,195587,59835,5472,18692,-2949,12715,7372
"524",55398,94388,5941,45652,15000,76698,208548,56261,5137,9689,-5124,5703,4503
"525",55411,32993,1610,81591,21000,6814,86847,35615,4831,19297,1558,18802,12374
"526",55472,262564,2127,15824,10000,284484,743417,52592,4046,2630,-17580,-14752,-9718
"527",55791,49781,4669,45915,12750,23186,201912,35832,2452,15583,-12947,2772,1912
"528",55866,173204,1333,93265,52500,135806,995791,34261,7501,16801,-9370,7498,5093
"529",56090,506020,22076,23628,10000,536327,342975,89779,6289,36072,-28732,5507,5507
"530",56302,115561,2132,35446,3000,119154,158831,45813,5890,5975,-4057,1894,1216
"531",56369,95532,162,44913,10000,94110,256361,73315,9797,16125,-10164,7215,5020
"532",57046,103897,3658,62283,10000,78659,134528,43786,5958,-10729,-7413,5174,5664
"533",57683,99380,5534,62867,40000,75527,207786,59891,17780,10585,-4616,6457,5292
"534",58099,7696,-13793,37517,5000,28278,86957,7389,1687,6842,165,7474,5773
"535",58200,198660,163,37716,25000,59584,599909,32253,3641,1317,-411,906,589
"536",58326,226767,20258,69203,26200,196763,416504,46002,7866,29427,-20540,8899,6645
"537",58450,249071,812,60984,65000,246537,285467,49064,417,-14450,-7324,1290,838
"538",58923,144216,3846,61279,47910,107243,144187,36231,1695,13763,-13603,1610,1345
"539",59520,113031,1834,88359,16000,60643,288555,99512,6868,13841,-9271,4775,4842
"540",59976,233593,56964,234034,40200,59675,543498,0,11279,6388,1439,7667,6413
"541",60074,47134,3517,37799,11250,63963,168886,62533,14208,5335,-3836,1365,56
"542",60282,121502,454,-81065,10000,258348,72588,35331,0,-18515,-6584,-24870,-24870
"543",60355,194698,12654,-18479,10000,110707,954702,47722,6238,58172,-49872,1236,782
"544",60508,328147,52490,124450,44000,264206,1085694,54140,5191,3976,590,4521,3085
"545",60933,91094,18784,83471,10000,64943,166619,23803,4242,-877,-1052,-1929,-2543
"546",61680,71670,4610,29399,20000,70305,353682,29975,9227,16423,-10750,6228,4654
"547",61970,36503,4077,79444,17000,18970,126498,86073,4387,8447,-6714,1732,8
"548",62181,192618,34027,165336,40000,66400,621206,74497,6816,-42009,-5213,-8542,-8314
"549",62401,173414,39,33145,30000,91875,93791,21429,9088,7258,-11721,383,283
"550",63320,323257,62699,249082,10560,137494,634841,285508,8911,44910,7370,52031,47181
"551",63546,201152,5164,63458,8010,190172,437193,69164,10656,23450,10061,10690,8579
"552",64285,24917,6193,32012,10750,57189,250455,33196,3838,7004,-2026,4977,3844
"553",64286,158988,36216,133544,20250,89731,343808,131276,13621,41963,707,42671,30143
"554",64483,79177,0,65497,10000,65125,361267,46350,5700,29638,-1898,28368,18439
"555",64572,72758,5255,48347,4500,76715,291096,38628,7815,35553,-7494,28070,18245
"556",64731,102648,8620,107102,23000,46867,275508,131446,8224,-2934,237,-2804,-2282
"557",65493,41532,6564,55998,6000,32570,193106,37824,8909,29507,-14488,15189,11341
"558",65690,21599,1475,41608,10000,12563,17005,0,7322,7880,-4356,3639,2372
"559",66168,143888,4445,25561,10000,161375,509226,143754,18484,15191,-7672,7518,7141
"560",66172,760014,63743,90114,10000,742072,527380,78638,4582,12171,5201,17372,11285
"561",66459,611921,24389,175208,30000,505223,1340515,0,7229,95749,58697,58624,38248
"562",66596,24855,-29944,12759,1650,54691,176326,86743,5881,13505,-11787,1562,920
"563",66659,351145,17838,196217,59000,212108,798829,83389,4051,28219,-16214,12005,7803
"564",67037,295192,11,50895,11000,311335,879659,93069,12601,18827,-16841,1402,84
"565",67115,46347,9273,40740,10000,39603,68759,33536,6641,2700,-514,9418,5218
"566",67293,192581,30096,52763,10000,179442,493368,37945,6662,16376,-6057,11385,7536
"567",67413,106803,4338,88040,2000,81170,181151,24720,6944,35471,-5489,29878,20669
"568",68152,34455,-510,18532,4000,65680,81825,13320,13173,4943,-3469,2359,1526
"569",68483,14935,808,50740,37500,31593,212567,70712,15081,15463,-3132,12096,7893
"570",68556,272924,11565,118014,12000,221198,1053112,42206,15246,48627,-26534,24562,14931
"571",69352,176536,13058,114548,25000,103949,496241,50765,4496,4028,3133,8839,6470
"572",69834,1025722,8079,125775,125509,968477,1380249,155608,10115,66522,-17572,42811,27079
"573",70563,276150,5615,2451,11700,330559,280563,113336,6530,18590,-15705,2200,2200
